0,1,2,3
GDA-LON,Gdańsk lotnisko,Londyn lotnisko,Gdańsk-Londyn
LON-GDA,Londyn lotnisko,Gdańsk lotnisko,Londyn-Gdańsk
GDA-BRU,Gdańsk lotnisko,Bruksela lotnisko,Gdańsk-Bruksela
BRU-GDA,Bruksela lotnisko,Gdańsk lotnisko,Bruksela-Gdańsk
GDA-LUB,Gdańsk lotnisko,Lublana lotnisko,Gdańsk-Lublana
LUB-GDA,Lublana lotnisko,Gdańsk lotnisko,Lublana-Gdańsk
GDA-POZ,Gdańsk lotnisko,Poznań lotnisko,Gdańsk-Poznań
POZ-GDA,Poznań lotnisko,Gdańsk lotnisko,Poznań-Gdańsk
GDA-RZY,Gdańsk lotnisko,Rzym lotnisko,Gdańsk-Rzym
RZY-GDA,Rzym lotnisko,Gdańsk lotnisko,Rzym-Gdańsk
