0,1,2
HGV108,Airbus,1950
QZO798,Regional,1986
DAD546,Commuter liner,1925
PIG739,Narrow Body Aircraft,2006
UPZ176,Mid-Size Jet,2019
SGS708,Turboprop Aircraft,1993
JMW164,Jumbo Jet,1935
CKG238,Wide Body Airliners,1965
AKG739,Turboprop Aircraft,1991
GRN416,Piston Aircraft,2019
CPM454,Mid-Size Jet,1990
ZVJ831,Airbus,2008
OKU263,Regional,1959
KMG893,Narrow Body Aircraft,1960
HAZ826,Airbus,2003
LXU103,Narrow Body Aircraft,1958
VXL974,Regional,2015
WTI108,Wide Body Airliners,1979
NSZ186,Commuter liner,1984
SBR812,Mid-Size Jet,1963
EUF281,Mid-Size Jet,1975
UFJ965,Commuter liner,1943
RIC709,Mid-Size Jet,1916
RHA145,Turboprop Aircraft,1964
YQG797,Light Jet,1967
HXG104,Piston Aircraft,1915
OOH181,Wide Body Airliners,1955
AZK514,Turboprop Aircraft,2015
UDW638,Light Jet,1962
CYG904,Jumbo Jet,1917
BJF685,Commuter liner,1962
QER148,Light Jet,1960
DSE834,Light Jet,2021
BXN397,Jumbo Jet,1929
DPO296,Narrow Body Aircraft,2015
IWY259,Regional Jet,1936
HPI901,Wide Body Airliners,1970
NLQ869,Regional Jet,1934
GBG324,Turboprop Aircraft,1920
HTN138,Wide Body Airliners,1972
VAU408,Regional,1916
KYE127,Narrow Body Aircraft,1964
YDX649,Jumbo Jet,1979
HTF535,Regional Jet,1930
EHR562,Narrow Body Aircraft,1988
EKK256,Regional Jet,1986
NFZ806,Commuter liner,1986
MSU178,Wide Body Airliners,1955
JWO376,Commuter liner,1931
KZG738,Light Jet,2005
IXP868,Piston Aircraft,1917
TLU612,Regional Jet,1992
FFX619,Regional Jet,1913
CSG301,Wide Body Airliners,2004
WPH429,Commuter liner,1934
LPR283,Mid-Size Jet,1962
HPS385,Light Jet,1986
PKY311,Jumbo Jet,2005
RWL118,Commuter liner,1974
DRU996,Regional Jet,1944
TOW837,Narrow Body Aircraft,2005
TGH391,Mid-Size Jet,1998
OKA669,Light Jet,1952
NGC950,Commuter liner,2019
XLY374,Light Jet,1982
FWV523,Airbus,1995
MXV308,Jumbo Jet,1967
PZN277,Light Jet,1922
AKT247,Light Jet,1971
UCY529,Wide Body Airliners,2020
VGS147,Jumbo Jet,1926
JEN168,Regional,1916
SWP380,Commuter liner,1998
JEG293,Commuter liner,1955
VPC312,Commuter liner,1966
VJD545,Regional Jet,2007
EWQ632,Turboprop Aircraft,2013
OTX822,Regional Jet,1916
AKX884,Regional Jet,1990
PFR606,Jumbo Jet,1930
SRQ388,Narrow Body Aircraft,1941
WNJ711,Narrow Body Aircraft,2006
DCQ505,Narrow Body Aircraft,1926
ZHE158,Narrow Body Aircraft,1914
ZAR848,Narrow Body Aircraft,1961
UCC555,Piston Aircraft,1955
ADQ817,Mid-Size Jet,1959
UTH218,Turboprop Aircraft,1934
BBS684,Piston Aircraft,1926
ZIA282,Narrow Body Aircraft,2013
TEF351,Light Jet,1938
CZZ946,Regional Jet,1946
CZP500,Light Jet,1923
XWP567,Light Jet,2007
HSA145,Piston Aircraft,1990
OHP962,Regional,2004
HGN280,Airbus,1999
YPA105,Mid-Size Jet,1947
ATU836,Narrow Body Aircraft,1967
CFN786,Turboprop Aircraft,1929
