0,1,2,3
YIM243,Airbus,1923,biznesowa
YUE416,Turboprop Aircraft,1917,zwykła
RCR974,Jumbo Jet,1912,ekonomiczna
OJK815,Jumbo Jet,1982,ekonomiczna
XEP481,Wide Body Airliners,1940,ekonomiczna
AWL644,Commuter liner,1936,biznesowa
MGB170,Jumbo Jet,1950,zwykła
ASO455,Wide Body Airliners,2011,biznesowa
JBU747,Regional Jet,1991,zwykła
LPS447,Light Jet,1927,biznesowa
RJZ490,Light Jet,1911,ekonomiczna
CCF219,Mid-Size Jet,1989,zwykła
YWU942,Piston Aircraft,1911,biznesowa
LGO194,Narrow Body Aircraft,1993,zwykła
OAU701,Commuter liner,1998,zwykła
ODB547,Piston Aircraft,2019,biznesowa
SHW581,Commuter liner,1987,biznesowa
WMU610,Light Jet,2008,ekonomiczna
QPT169,Piston Aircraft,1917,biznesowa
NWY921,Narrow Body Aircraft,1915,ekonomiczna
BNI463,Regional Jet,1976,zwykła
SWV867,Jumbo Jet,1974,zwykła
AFD750,Airbus,1939,biznesowa
PKI902,Narrow Body Aircraft,1975,zwykła
EAE318,Mid-Size Jet,1957,ekonomiczna
BET170,Mid-Size Jet,1994,ekonomiczna
EAM100,Light Jet,1945,biznesowa
DMU753,Regional,2003,biznesowa
XKS483,Jumbo Jet,1929,biznesowa
QXV265,Light Jet,1916,ekonomiczna
XVT528,Regional,1924,ekonomiczna
FED260,Commuter liner,1992,zwykła
YKN155,Light Jet,1986,ekonomiczna
TRI324,Mid-Size Jet,1947,ekonomiczna
MTV893,Piston Aircraft,1984,ekonomiczna
WEO327,Turboprop Aircraft,1955,zwykła
HON683,Regional,1925,biznesowa
WPC530,Turboprop Aircraft,1932,zwykła
RRV474,Commuter liner,1988,zwykła
DQH157,Jumbo Jet,1917,ekonomiczna
UPK448,Regional Jet,2019,biznesowa
TNJ996,Mid-Size Jet,1948,biznesowa
QSQ678,Narrow Body Aircraft,2009,biznesowa
OVS322,Regional Jet,1998,biznesowa
XIF219,Airbus,1957,biznesowa
LGW475,Narrow Body Aircraft,1943,ekonomiczna
CZE272,Narrow Body Aircraft,2021,biznesowa
ODE582,Mid-Size Jet,2012,biznesowa
YFS715,Regional Jet,1936,ekonomiczna
ISJ518,Commuter liner,1911,zwykła
KDT889,Mid-Size Jet,1958,zwykła
USA604,Regional,1945,biznesowa
GZT700,Airbus,1952,zwykła
MDK653,Piston Aircraft,1941,ekonomiczna
VIZ449,Light Jet,1957,ekonomiczna
YLE927,Regional,1992,ekonomiczna
RBA651,Jumbo Jet,1991,biznesowa
HHA190,Wide Body Airliners,1998,ekonomiczna
VGL976,Mid-Size Jet,1980,biznesowa
QBC961,Narrow Body Aircraft,1983,biznesowa
WIO982,Regional Jet,1983,biznesowa
VBZ694,Piston Aircraft,1988,biznesowa
DJW837,Piston Aircraft,1968,zwykła
PTB331,Turboprop Aircraft,1974,ekonomiczna
HGC737,Mid-Size Jet,1957,biznesowa
JCC914,Wide Body Airliners,2018,ekonomiczna
AWL110,Regional Jet,1979,ekonomiczna
NQS876,Mid-Size Jet,1934,ekonomiczna
OND653,Airbus,1997,ekonomiczna
EEM282,Turboprop Aircraft,1949,zwykła
