0,1,2,3
GDA-OST,Gdańsk lotnisko,Ostrawa lotnisko,Gdańsk-Ostrawa
OST-GDA,Ostrawa lotnisko,Gdańsk lotnisko,Ostrawa-Gdańsk
GDA-LUB,Gdańsk lotnisko,Lublana lotnisko,Gdańsk-Lublana
LUB-GDA,Lublana lotnisko,Gdańsk lotnisko,Lublana-Gdańsk
GDA-HAM,Gdańsk lotnisko,Hamburg lotnisko,Gdańsk-Hamburg
HAM-GDA,Hamburg lotnisko,Gdańsk lotnisko,Hamburg-Gdańsk
GDA-LIP,Gdańsk lotnisko,Lipsk lotnisko,Gdańsk-Lipsk
LIP-GDA,Lipsk lotnisko,Gdańsk lotnisko,Lipsk-Gdańsk
GDA-LON,Gdańsk lotnisko,Londyn lotnisko,Gdańsk-Londyn
LON-GDA,Londyn lotnisko,Gdańsk lotnisko,Londyn-Gdańsk
GDA-BRU,Gdańsk lotnisko,Bruksela lotnisko,Gdańsk-Bruksela
BRU-GDA,Bruksela lotnisko,Gdańsk lotnisko,Bruksela-Gdańsk
GDA-WRO,Gdańsk lotnisko,Wrocław lotnisko,Gdańsk-Wrocław
WRO-GDA,Wrocław lotnisko,Gdańsk lotnisko,Wrocław-Gdańsk
GDA-KAL,Gdańsk lotnisko,Kalamata lotnisko,Gdańsk-Kalamata
KAL-GDA,Kalamata lotnisko,Gdańsk lotnisko,Kalamata-Gdańsk
GDA-RZY,Gdańsk lotnisko,Rzym lotnisko,Gdańsk-Rzym
RZY-GDA,Rzym lotnisko,Gdańsk lotnisko,Rzym-Gdańsk
GDA-WAR,Gdańsk lotnisko,Warszawa lotnisko,Gdańsk-Warszawa
WAR-GDA,Warszawa lotnisko,Gdańsk lotnisko,Warszawa-Gdańsk
GDA-ATE,Gdańsk lotnisko,Ateny lotnisko,Gdańsk-Ateny
ATE-GDA,Ateny lotnisko,Gdańsk lotnisko,Ateny-Gdańsk
GDA-EVE,Gdańsk lotnisko,Evenes lotnisko,Gdańsk-Evenes
EVE-GDA,Evenes lotnisko,Gdańsk lotnisko,Evenes-Gdańsk
GDA-BER,Gdańsk lotnisko,Berlin lotnisko,Gdańsk-Berlin
BER-GDA,Berlin lotnisko,Gdańsk lotnisko,Berlin-Gdańsk
GDA-OSL,Gdańsk lotnisko,Oslo lotnisko,Gdańsk-Oslo
OSL-GDA,Oslo lotnisko,Gdańsk lotnisko,Oslo-Gdańsk
GDA-OST,Gdańsk lotnisko,Ostrawa lotnisko,Gdańsk-Ostrawa
OST-GDA,Ostrawa lotnisko,Gdańsk lotnisko,Ostrawa-Gdańsk
