0,1,2,3,4,5,6,7,8,9
BER-BAR,UGG572,2020-09-12 06:10:21,2020-09-12 08:13:29,2020-09-12 05:52:29,2020-09-12 04:02:21,UGG572-JQO874-BUF,168,NaN,NaN
BAR-BRU,BOR757,2019-10-13 09:43:14,2019-10-13 11:01:13,2019-10-13 10:59:13,2019-10-13 09:43:14,,31,NaN,NaN
KRA-POZ,LZN394,2020-01-28 11:24:07,2020-01-28 11:52:31,2020-01-28 08:13:31,2020-01-28 07:50:07,,254,NaN,NaN
KAL-POZ,NOI860,2020-01-05 23:04:26,2020-01-06 01:15:52,2020-01-05 20:50:52,2020-01-05 18:48:26,,296,NaN,NaN
GDA-EVE,TEW163,2020-09-17 00:20:43,2020-09-17 02:17:05,2020-09-16 22:51:05,2020-09-16 21:00:43,,240,NaN,NaN
LON-KOP,OKG686,2019-05-31 18:00:02,2019-05-31 19:10:27,2019-05-31 18:44:27,2019-05-31 17:40:02,,60,NaN,NaN
BRU-KAL,CXU469,2019-12-01 22:45:12,2019-12-02 01:14:53,2019-12-02 01:01:53,2019-12-01 22:37:12,,48,NaN,NaN
HAM-KIR,WNB876,2020-01-19 21:10:31,2020-01-19 23:14:47,2020-01-19 18:54:47,2020-01-19 17:00:31,,290,NaN,NaN
WAR-RZY,XLO190,2019-07-01 18:27:10,2019-07-01 20:11:17,2019-07-01 18:51:17,2019-07-01 17:20:10,,107,NaN,NaN
BAR-GDA,SZL967,2019-09-26 18:38:12,2019-09-26 21:04:41,2019-09-26 19:43:41,2019-09-26 17:20:12,,118,NaN,NaN
KIR-WAR,EKP219,2020-12-10 14:29:04,2020-12-10 16:39:16,2020-12-10 15:30:16,2020-12-10 13:30:04,,99,NaN,NaN
WRO-BRU,TZE476,2019-08-27 12:52:03,2019-08-27 14:05:07,2019-08-27 12:07:07,2019-08-27 10:57:03,,155,NaN,NaN
WAR-RZY,VSC935,2020-09-09 21:03:08,2020-09-09 22:40:15,2020-09-09 19:25:15,2020-09-09 17:54:08,,229,NaN,NaN
LIP-WRO,HKM384,2019-12-16 06:13:05,2019-12-16 06:36:22,2019-12-16 06:36:22,2019-12-16 06:13:05,,33,NaN,NaN
LON-OSL,UZA645,2019-02-16 09:24:01,2019-02-16 11:00:20,2019-02-16 10:56:20,2019-02-16 09:24:01,,24,NaN,NaN
LON-KOP,JOY791,2019-08-08 02:54:36,2019-08-08 04:12:01,2019-08-08 03:59:01,2019-08-08 02:54:36,,38,NaN,NaN
HAM-ATE,UZI190,2020-07-26 05:36:25,2020-07-26 08:02:35,2020-07-26 04:27:35,2020-07-26 02:02:25,,254,NaN,NaN
OSL-EVE,NIY536,2020-02-26 09:07:14,2020-02-26 10:30:16,2020-02-26 10:19:16,2020-02-26 09:02:14,,45,NaN,NaN
WRO-SYB,LZN394,2020-03-07 05:39:09,2020-03-07 06:42:04,2020-03-07 04:20:04,2020-03-07 03:22:09,,177,NaN,NaN
OST-HAM,VSC935,2019-03-13 06:59:26,2019-03-13 07:52:12,2019-03-13 04:15:12,2019-03-13 03:26:26,,253,NaN,NaN
BAR-RZY,OLW691,2019-08-24 03:02:41,2019-08-24 04:18:00,2019-08-24 02:46:00,2019-08-24 01:39:41,,123,NaN,NaN
LUB-POZ,LZN394,2020-01-23 00:32:26,2020-01-23 01:40:16,2020-01-23 01:01:16,2020-01-23 00:07:26,,65,NaN,NaN
PAR-HAM,LZN394,2019-02-15 08:22:42,2019-02-15 09:21:03,2019-02-15 09:15:03,2019-02-15 08:22:42,,21,NaN,NaN
HAM-OSL,NMJ507,2019-01-11 05:47:49,2019-01-11 06:40:26,2019-01-11 04:55:26,2019-01-11 04:06:49,,141,NaN,NaN
KAL-POZ,HOL512,2019-12-27 14:16:15,2019-12-27 16:24:41,2019-12-27 15:45:41,2019-12-27 13:43:15,,73,NaN,NaN
KOL-KAL,MMR729,2020-11-22 16:39:37,2020-11-22 19:00:25,2020-11-22 16:28:25,2020-11-22 14:09:37,,190,NaN,NaN
PRA-WAR,HRB478,2019-03-22 02:47:07,2019-03-22 03:34:42,2019-03-22 00:51:42,2019-03-22 00:15:07,,192,NaN,NaN
BAR-RZY,FYJ448,2019-11-14 11:53:48,2019-11-14 13:12:07,2019-11-14 12:16:07,2019-11-14 11:09:48,,84,NaN,NaN
HAM-KIR,VKY908,2020-12-19 22:33:43,2020-12-20 00:30:59,2020-12-19 22:49:59,2020-12-19 20:55:43,,138,NaN,NaN
WAR-BAR,TPT705,2019-03-18 18:16:04,2019-03-18 20:33:57,2019-03-18 19:03:57,2019-03-18 16:50:04,,126,NaN,NaN
HEL-RZY,WHA378,2019-04-09 11:46:32,2019-04-09 14:18:39,2019-04-09 11:27:39,2019-04-09 08:57:32,,209,NaN,NaN
OST-WRO,EHA425,2019-05-07 19:31:27,2019-05-07 19:47:57,2019-05-07 17:31:57,2019-05-07 17:20:27,EHA425-CIF342-JDV,171,NaN,NaN
HEL-SYB,VEG901,2020-11-01 10:28:15,2020-11-01 12:25:28,2020-11-01 12:16:28,2020-11-01 10:28:15,,32,NaN,NaN
KOL-OST,ZHD480,2020-07-25 15:30:39,2020-07-25 16:48:34,2020-07-25 14:59:34,2020-07-25 13:54:39,,136,NaN,NaN
GDA-PAR,WEQ952,2020-08-07 10:07:13,2020-08-07 11:58:56,2020-08-07 11:24:56,2020-08-07 09:47:13,,60,NaN,NaN
LON-HAM,XDD308,2019-01-04 04:30:01,2019-01-04 05:31:57,2019-01-04 03:22:57,2019-01-04 02:33:01,,157,NaN,NaN
OSL-EVE,RMU352,2019-07-26 08:53:48,2019-07-26 10:17:50,2019-07-26 09:32:50,2019-07-26 08:15:48,,78,NaN,NaN
BAR-RZY,ABC148,2019-11-05 15:30:39,2019-11-05 16:36:58,2019-11-05 13:37:58,2019-11-05 12:31:39,,219,NaN,NaN
PRA-WAR,ZAQ345,2019-03-15 19:02:07,2019-03-15 19:43:42,2019-03-15 17:33:42,2019-03-15 16:57:07,,165,NaN,NaN
BAR-EVE,HOL512,2020-05-11 09:15:08,2020-05-11 12:51:52,2020-05-11 12:39:52,2020-05-11 09:03:08,HOL512-TPT705-UQB,52,NaN,NaN
BAR-EVE,GBK188,2019-12-27 07:44:27,2019-12-27 11:30:11,2019-12-27 08:48:11,2019-12-27 05:11:27,,193,NaN,NaN
LIP-PRA,UAB627,2019-01-31 18:29:13,2019-01-31 18:57:06,2019-01-31 18:44:06,2019-01-31 18:29:13,,21,NaN,NaN
BAR-GDA,UZA645,2019-07-28 05:19:47,2019-07-28 07:51:16,2019-07-28 07:26:16,2019-07-28 05:02:47,,57,NaN,NaN
WRO-BRU,EKP219,2019-04-17 07:44:22,2019-04-17 09:01:26,2019-04-17 05:21:26,2019-04-17 04:11:22,,253,NaN,NaN
WAR-BAR,BOR757,2019-10-14 20:19:04,2019-10-14 22:35:57,2019-10-14 19:25:57,2019-10-14 17:12:04,,227,NaN,NaN
KOL-OST,ZEI514,2019-12-20 00:26:38,2019-12-20 01:43:33,2019-12-19 22:59:33,2019-12-19 21:54:38,,192,NaN,NaN
HAM-KIR,VEG901,2020-01-23 18:02:04,2020-01-23 20:03:20,2020-01-23 18:41:20,2020-01-23 16:47:04,,115,NaN,NaN
SZT-PAR,GUU740,2019-01-26 05:23:28,2019-01-26 07:23:58,2019-01-26 03:15:58,2019-01-26 01:22:28,,281,NaN,NaN
HAM-ATE,YLK432,2019-06-13 12:46:54,2019-06-13 15:12:04,2019-06-13 10:59:04,2019-06-13 08:33:54,,293,NaN,NaN
BER-SYB,GKM691,2020-03-08 14:45:54,2020-03-08 16:13:33,2020-03-08 12:37:33,2020-03-08 11:10:54,,255,NaN,NaN
HAM-OSL,EJV778,2019-02-03 05:40:47,2019-02-03 06:34:24,2019-02-03 04:33:24,2019-02-03 03:44:47,,156,NaN,NaN
BAR-BRU,GAQ472,2019-02-25 02:19:25,2019-02-25 03:36:24,2019-02-25 02:51:24,2019-02-25 01:35:25,,84,NaN,NaN
BAR-GDA,ZHD480,2019-08-30 23:18:53,2019-08-31 01:54:22,2019-08-30 22:51:22,2019-08-30 20:27:53,ZHD480-JJY798-NQW,211,NaN,NaN
BER-SYB,GWK433,2020-05-02 01:16:57,2020-05-02 02:47:36,2020-05-02 02:08:36,2020-05-02 00:41:57,,75,NaN,NaN
RZY-GDA,FML277,2020-04-19 06:55:44,2020-04-19 08:40:17,2020-04-19 05:31:17,2020-04-19 03:49:44,,226,NaN,NaN
GDA-PAR,VEG901,2020-01-25 10:23:07,2020-01-25 12:04:50,2020-01-25 11:52:50,2020-01-25 10:15:07,,48,NaN,NaN
HEL-SYB,WHA378,2019-03-23 19:46:40,2019-03-23 21:44:53,2019-03-23 20:44:53,2019-03-23 18:56:40,,90,NaN,NaN
KRA-RZY,WEQ952,2019-06-27 13:50:52,2019-06-27 15:13:53,2019-06-27 15:11:53,2019-06-27 13:50:52,,25,NaN,NaN
LUB-POZ,ZVD638,2020-04-28 17:49:48,2020-04-28 18:43:38,2020-04-28 15:02:38,2020-04-28 14:08:48,,261,NaN,NaN
EVE-HEL,GBK188,2019-11-14 22:24:09,2019-11-14 23:52:19,2019-11-14 19:37:19,2019-11-14 18:19:09,,285,NaN,NaN
SYB-BAR,ABC148,2020-07-25 14:15:32,2020-07-25 16:33:26,2020-07-25 14:33:26,2020-07-25 12:19:32,ABC148-VKY908-OFU,156,NaN,NaN
KAL-POZ,MMR729,2020-11-23 09:42:10,2020-11-23 11:55:36,2020-11-23 11:06:36,2020-11-23 09:04:10,,78,NaN,NaN
HAM-ATE,UMU519,2019-12-29 07:56:46,2019-12-29 10:21:56,2019-12-29 06:31:56,2019-12-29 04:06:46,,270,NaN,NaN
KOL-KAL,GUU740,2020-07-10 15:24:09,2020-07-10 17:47:57,2020-07-10 16:14:57,2020-07-10 13:56:09,,128,NaN,NaN
BRU-KAL,XZZ571,2019-11-18 18:24:50,2019-11-18 20:54:31,2019-11-18 17:03:31,2019-11-18 14:38:50,,266,NaN,NaN
HEL-BER,JJY798,2020-09-29 10:04:37,2020-09-29 11:32:38,2020-09-29 09:16:38,2020-09-29 07:55:37,,169,NaN,NaN
RZY-GDA,HOL512,2019-01-31 08:07:47,2019-01-31 09:59:20,2019-01-31 08:36:20,2019-01-31 06:54:47,,113,NaN,NaN
SZT-PAR,JVF498,2020-05-19 00:55:08,2020-05-19 02:56:38,2020-05-19 02:48:38,2020-05-19 00:55:08,,28,NaN,NaN
PAR-HAM,OLW691,2019-12-06 07:01:38,2019-12-06 07:54:59,2019-12-06 07:21:59,2019-12-06 06:29:38,,72,NaN,NaN
KRA-POZ,ZVD638,2019-03-16 18:45:39,2019-03-16 19:14:03,2019-03-16 16:20:03,2019-03-16 15:56:39,,209,NaN,NaN
KAL-POZ,XCB785,2019-02-23 04:43:48,2019-02-23 06:48:14,2019-02-23 04:06:14,2019-02-23 02:03:48,,200,NaN,NaN
LON-OSL,UGG572,2019-03-18 20:24:19,2019-03-18 21:59:38,2019-03-18 20:14:38,2019-03-18 18:42:19,,142,NaN,NaN
HEL-BER,ZLW600,2019-09-25 12:53:22,2019-09-25 14:22:23,2019-09-25 10:55:23,2019-09-25 09:34:22,ZLW600-GKM691-YEI,239,NaN,NaN
KRA-POZ,HHE417,2019-07-03 09:41:39,2019-07-03 10:12:03,2019-07-03 08:48:03,2019-07-03 08:24:39,,117,NaN,NaN
HEL-BER,FML277,2019-06-01 00:43:24,2019-06-01 02:14:25,2019-05-31 23:09:25,2019-05-31 21:48:24,,215,NaN,NaN
PRA-WAR,PDS116,2020-01-07 00:31:45,2020-01-07 01:12:20,2020-01-06 23:03:20,2020-01-06 22:26:45,,165,NaN,NaN
KOL-WAR,XSA366,2020-07-27 22:11:01,2020-07-27 23:34:58,2020-07-27 20:29:58,2020-07-27 19:11:01,,220,NaN,NaN
KRA-RZY,UZA645,2020-09-21 18:04:21,2020-09-21 19:25:22,2020-09-21 15:52:22,2020-09-21 14:31:21,,253,NaN,NaN
BRU-LON,OTI754,2019-03-24 00:14:09,2019-03-24 00:40:39,2019-03-23 20:38:39,2019-03-23 20:15:09,OTI754-EJV778-EGQ,279,NaN,NaN
KAL-POZ,SSC941,2019-09-11 11:43:51,2019-09-11 13:48:17,2019-09-11 13:46:17,2019-09-11 11:43:51,,30,NaN,NaN
LIP-WRO,NOI860,2020-07-04 22:22:32,2020-07-04 22:48:49,2020-07-04 20:29:49,2020-07-04 20:06:32,,176,NaN,NaN
